Year,Movie
1920,The Cabinet of Dr. Caligari
1921,The Kid
1922,Nosferatu
1923,Our Hospitality
1924,Greed
1925,The Gold Rush
1926,The General
1927,Metropolis
1928,The Passion of Joan of Arc
1929,An Andalusian Dog
1930,Animal Crackers
1931,M
1932,Freaks
1933,King Kong
1934,It Happened One Night
1935,Bride of Frankenstein
1936,Modern Times
1937,Snow White and the 7 Dwarves
1938,Bringing Up Baby
1939,Gone with the Wind
1940,The Grapes of Wrath
1941,Citizen Kane
1942,Casablanca
1943,Shadow of a Doubt
1944,Double Indemnity
1945,Spellbound
1946,It's a Wonderful Life
1947,The Black Narcissus
1948,Bicycle Theives
1949,The Third Man
1950,Sunset Boulevard
1951,The African Queen
1952,Singin' in the Rain
1953,Stalag 17
1954,Seven Samuai
1955,Rebel without a Cause
1956,Invasian of the Body Snatchers
1957,12 Angry Men
1958,Vertigo
1959,Some Like It Hot
1960,Psycho
1961,Judgement at Nuremberg
1962,Lawrence of Arabia
1963,The Great Escape
1964,Dr. Strangelove
1965,The Sound of Music
1966,"The Good, the Bad and the Ugly"
1967,Cool Hand Luke
1968,2001: A Space Odyssey
1969,Butch Cassidy and the Sundance Kid
1970,Patton
1971,A Clockwork Orange
1972,The Godfather
1973,The Sting
1974,Chinatown
1975,Monty Python & the Holy Grail
1976,Rocky
1977,Star Wars
1978,Superman the Movie
1979,Apocalypse Now
1980,The Blues Brothers
1981,Indiana Jones and the Raiders of the Lost Ark
1982,Blade Runner
1983,A Christmas Story
1984,Ghostbusters
1985,Back to the Future
1986,The Mission
1987,The Princess Bride
1988,Grave of Fireflies
1989,Indiana Jones and the Last Crusade
1990,Dances with Wolves
1991,Silence of the Lambs
1992,Unforgiven
1993,Schindler's List
1994,Forrest Gump
1995,Toy Story
1996,Fargo
1997,Life Is Beautiful
1998,American History X
1999,American Beauty
2000,Requiem for a Dream
2001,Amelie
2002,The Pianist
2003,Lord of the Rings: Return of the King
2004,Shawn of the Dead
2005,V for Vendetta
2006,Little Miss Sunshine
2007,Juno
2008,Slumdog Millionaire
2009,Precious
2010,Black Swan
2011,Harry Potter and the Deathly Hollows: Part II
2012,Hunger Games
2013,Frozen
2014,Ex Machina
2015,Inside Out
2016,Silence
2017,Get Out
2018,Into the Spiderverse
2019,Parasite