Name,Movie,,,
Ruby Slippers,Wizard of Oz,,,https://www.thrillist.com/travel/nation/creative-first-date-ideas-that-are-actually-fun
The Cane,Citizen Kane,,,https://www.filmsite.org/movieprops3.html
The One Ring,Lord of the Rings Trilogy,,,
Luke's Light Saber,Star Wars,,,
Wilson,Castaway,,,
Coffee Mug,The Usual Suspects,,,
Leg Lamp Art,A Christmas Story,,,
Red Stapler,Office Space,,,
Spinning Top,Inception,,,
Camera,Rear Window,,,
Maltese Falcon,The Maltese Falcon,,,
Golden Ticker,Willy Wonka and the Chocolate Factory,,,
Garden Gnome,Amelie,,,
Fuzzy Pen,Legally Blond,,,
Burn Book,Mean Girls,,,
Jumanji Board Game,Jumanji,,,
Frogs,Magnolia,,,
Alarm Clock,Groundhog Hog,,,
Box of Chocolates,Forrest Gump,,,
Plastic Bag,American Beauty,,,
Hula hoop,The Hudsucker Proxy,,,
The bycicle,The Bicycle Theives,,,
Coconut shells,Monty Python,,,
Reese's Pieces,ET,,,
The Gold Watch,Pulp Fiction,,,
Umbrella,Singin' in the Rain,,,
Heart of the Ocean,Titanic,,,